,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
0,Light yellowish brown loam,0.9555433502614494,0.9728203994298772,0.9728203994298772,0.9770569884906426,0.9742371738156816
1,Red-orange sandy loam,0.8866797188088376,0.913404007673777,0.913404007673777,0.9680909064629272,0.9681556477045726
2,Grey calcareous silty soil,0.9111815456289862,0.951959221848232,0.951959221848232,0.9698045757059794,0.9668157066574228
3,Pale brown silty loam,0.964575829599742,0.956186113798782,0.956186113798782,0.9746704308505018,0.9708420163688748
4,Reddish brown fine sandy loam,0.8409206418368098,0.8752460452747963,0.8752460452747963,0.9688149766312376,0.9741477599586126
5,Red-orange sandy loam,0.9036905728862404,0.9271061590813356,0.9271061590813356,0.972814325797994,0.9751198746441456
6,Brown to dark brown gravelly loam,0.9770011552780442,0.9744043526423344,0.9744043526423344,0.9736085674610244,0.9709645961365448
7,Light yellowish brown interior dry gravelly loam,0.9449029239173972,0.9626068886789596,0.9626068886789596,0.9716336957576234,0.9705578491971704
8,Brown to dark brown loamy sand,0.8239288552129639,0.8399517399752051,0.8399517399752051,0.9599035137290324,0.9657666102568834
9,Brown to dark brown sandy loam,0.8987770724660442,0.9114983454231738,0.9114983454231738,0.9685281332070582,0.9692102728922078
10,Red-orange sandy loam,0.933113763722304,0.9439382846288424,0.9439382846288424,0.9762196740285612,0.9751285539722242
11,Very dark grayish brown silty loam,0.9448877363678284,0.9409440617595042,0.9409440617595042,0.9727342367133784,0.9728826978917858
12,Grayish brown loam,0.9556622826695754,0.9549330067876972,0.9549330067876972,0.9728211965754686,0.9744438580520892
13,Light yellowish brown loamy sand,0.9159513857219198,0.9168204383612066,0.9168204383612066,0.9585585582747872,0.963422445492118
14,Red-orange sandy soil.,0.8781658075581161,0.9104614168350308,0.9104614168350308,0.9673616235558172,0.9658228951123332
15,Fluvial deposit,0.9044750480637882,0.924828623101804,0.924828623101804,0.9714696803185856,0.9710399706285924
16,Very dark grayish brown loam,0.9682034360266328,0.957395615473454,0.957395615473454,0.9719412564810714,0.9736815054522284
17,Gray/dark brown extremely stoney coarse sandy,0.9540214345052752,0.9396996920970032,0.9396996920970032,0.9647098416334424,0.966864747891
