Material_Type,Material_Name,C10_library_LSE,C11_library_LSE,C12_library_LSE,C13_library_LSE,C14_library_LSE,OE_retrieved_LST,C10_OE_retrieved_LSE,C11_OE_retrieved_LSE,C12_OE_retrieved_LSE,C13_OE_retrieved_LSE,C14_OE_retrieved_LSE,OE_retrieved_LST_uncertainty,C10_OE_retrieved_LSE_uncertainty,C11_OE_retrieved_LSE_uncertainty,C12_OE_retrieved_LSE_uncertainty,C13_OE_retrieved_LSE_uncertainty,C14_OE_retrieved_LSE_uncertainty
Hgh_emiss,Pinus lambertiana 3,0.983935858,0.980037498,0.980037498,0.978718972,0.980389753,305.3504,0.98201793,0.9790412,0.9789716,0.9770165,0.98036367,1.4146515,0.031894032,0.02897583,0.027153188,0.022116713,0.02188078
Hgh_emiss,Baccharis pilularis 2,0.982444417,0.981051752,0.981051752,0.980736022,0.982211857,305.39154,0.9810585,0.9790002,0.9789674,0.97822136,0.9812803,1.4146515,0.031882416,0.02897583,0.027153188,0.022141479,0.02190028
Hgh_emiss,Arctostaphylos glandulosa 1,0.986853247,0.984846648,0.984846648,0.985335275,0.985992204,305.55298,0.9811688,0.97933865,0.97931796,0.9793085,0.98226535,1.4146515,0.031858485,0.02897583,0.027153188,0.022151748,0.021900874
Hgh_emiss,Baccharis pilularis 3,0.980881556,0.980692439,0.980692439,0.979832363,0.981188785,305.33914,0.98148173,0.9799656,0.9797063,0.97834986,0.98120314,1.4146515,0.031894032,0.02897583,0.027153188,0.022133045,0.021895707
Hgh_emiss,Umbellularia californica 2,0.983951934,0.983176176,0.983176176,0.980160161,0.981002412,305.35727,0.9833638,0.9819237,0.98177314,0.9784824,0.9811978,1.4146515,0.03189678,0.02897583,0.027153188,0.022130992,0.021885553
Hgh_emiss,Baccharis pilularis 1,0.983066825,0.982292138,0.982292138,0.982083552,0.983295111,305.4278,0.9810783,0.97935265,0.97929883,0.9787569,0.98171693,1.4146515,0.031894032,0.02897196,0.027150305,0.022150904,0.021899201
Hgh_emiss,Baccharis pilularis 1,0.981594694,0.980975262,0.980975262,0.980761539,0.982272298,305.3846,0.9809504,0.9789936,0.97883064,0.978425,0.9813605,1.4146515,0.031881016,0.02897583,0.027153188,0.02213894,0.021893552
Hgh_emiss,Umbellularia californica 1,0.982067309,0.98190005,0.98190005,0.980855673,0.983134913,305.40094,0.98114717,0.9793678,0.97933906,0.9785296,0.9814818,1.4146515,0.031894032,0.028975504,0.027153188,0.02214942,0.021898422
Hgh_emiss,Leaf of Cypress,0.990393317,0.990087302,0.988655601,0.98854078,0.988727427,305.6822,0.9822524,0.9815665,0.98120093,0.98089564,0.98367697,1.4228423,0.03181788,0.02896045,0.027125921,0.022148272,0.021905737
Hgh_emiss,Leaf of Pine (New),0.985554632,0.983530971,0.981462276,0.980378605,0.980646555,305.38144,0.9830847,0.9807375,0.98026687,0.97779053,0.9808322,1.4146515,0.031894032,0.02897583,0.027153188,0.02213052,0.021882067
Hgh_emiss,Leaf of Green Spruce from Canada,0.992317173,0.991440807,0.991370442,0.991036455,0.990863247,305.7648,0.98251843,0.9818092,0.9817548,0.98277366,0.98462176,1.4233631,0.031802967,0.02897583,0.027153188,0.022160348,0.021922724
Med_emiss,Adenostoma fasciculatum 1,0.979405192,0.977999495,0.977999495,0.977898208,0.978455015,305.627,0.9738904,0.9712504,0.9710866,0.97235435,0.9732566,1.4226339,0.031805668,0.028889662,0.027059529,0.022135068,0.021870986
Med_emiss,Abies concolor 3,0.972004326,0.968692436,0.968692436,0.969348574,0.968928333,305.2496,0.9733138,0.969712,0.9696515,0.9695842,0.97087216,1.417903,0.03184583,0.028889945,0.027059529,0.022131145,0.021864025
