,Material_Name,C10_LSE,C11_LSE,C12_LSE,C13_LSE,C14_LSE
0,Red smooth-faced Brick,0.9474103560030744,0.8712587959003559,0.8712587959003559,0.934274319443795,0.9544155090483478
1,Olive green gloss paint,0.9519272568793234,0.9489498073736656,0.9489498073736656,0.8768988108154453,0.8661271696047538
2,Construction Asphalt,0.9477303146367684,0.9553517102162776,0.9553517102162776,0.9653172951565886,0.96069515287346
3,Glossy Black Paint,0.9537868073238808,0.949123889037265,0.949123889037265,0.9483494651815926,0.9496759879409644
4,Black tar paper,0.9807403299923134,0.976246085950178,0.976246085950178,0.973871518948074,0.9723804279463402
5,Lamp (Ebony) Black Paint,0.9271077281084856,0.936697022540101,0.936697022540101,0.921333744003301,0.9190856422954824
6,Terra cotta Tiles,0.905655107394312,0.8966835988327403,0.8966835988327403,0.9658906720447707,0.972963635599172
7,Ultra Flat Black Paint,0.9660084885831736,0.9504459243870728,0.9504459243870728,0.9524394837049852,0.9530526334701038
8,Construction  Concrete,0.9015670878820456,0.9058165742174163,0.9058165742174163,0.957691534723846,0.9532752648979228
9,Asphalt roofing shingle,0.9704897764236377,0.9220834134281652,0.9220834134281652,0.9544647493491714,0.9594688680506877
10,Olive green paint,0.958994943735588,0.9494901598291816,0.9494901598291816,0.947015646931363,0.9512288597280992
11,Flat Black Paint,0.9411091376971844,0.9405206854375768,0.9405206854375768,0.917622757098607,0.923261799445751
12,Construction Tar,0.9320150163722928,0.9284178553500284,0.9284178553500284,0.9316958710813888,0.9348824184009356
13,Reddish Asphalt roofing shingle,0.9696506131898536,0.925446870064057,0.925446870064057,0.955446558714867,0.9614308362654184
14,Black tar paper,0.940517274558032,0.937981054975089,0.937981054975089,0.9473078512213752,0.950856867759071
15,Black Nextel Paint,0.9727935601375864,0.9677585158171328,0.9677585158171328,0.9700518014480988,0.9714334962164622
16,Slate stone Shingle,0.8124545908155425,0.6851999615537847,0.6851999615537847,0.8874327808071832,0.9200728909973922
17,Black gloss paint,0.9595057395791732,0.9485946826693228,0.9485946826693228,0.9470384545355344,0.9492048784782806
18,Flat Black Paint,0.9558611856801862,0.9579575226592776,0.9579575226592776,0.9447375079638444,0.9342991546878272
19,Copper Metal,0.913889913973866,0.9816392734234876,0.9816392734234876,0.9876368647679622,0.981749980696858
20,Flat Black Paint,0.939850212516912,0.9385653390039652,0.9385653390039652,0.9206271880044036,0.9187406680361664
21,Pine Wood,0.9690456361260568,0.9732105379928826,0.9732105379928826,0.9168825208654852,0.9247521001890698
22,Pine Wood,0.9694484399631388,0.9704834175867956,0.9704834175867956,0.9263851003289216,0.9331423753215218
23,Black unspecified rubber,0.9210533680233444,0.890463686624929,0.890463686624929,0.9196486142418432,0.9231837012860872
24,Reddish asphalt Shingle,0.9752277280860872,0.9314826353024912,0.9314826353024912,0.9573715066329952,0.9631496899792924
25,Construction Asphalt,0.9375061126708644,0.9446443719408084,0.9446443719408084,0.9660795168903648,0.9651589454267472
26,Asphalt Shingle,0.9828592040521872,0.9572206951920345,0.9572206951920345,0.9622705934620962,0.965512505509122
27,White rubberized coating,0.9647913291967436,0.9621729811041544,0.9621729811041544,0.9695140144974982,0.9724365054411372
28,Construction Tar,0.9594505532176312,0.9561135378770632,0.9561135378770632,0.95805610566026,0.9598568477201188
29,Oxidized Galvanized Steel Metal,0.6520001268562644,0.8154974585907475,0.8154974585907475,0.799819893716192,0.77812570018907
30,Construction Concrete,0.9180639456304712,0.9259235921172452,0.9259235921172452,0.959653030444746,0.9588555871211442
31,Weathered Red Brick,0.9618294993082244,0.9200039172953736,0.9200039172953736,0.9701705107328252,0.9803340083911046
32,Olive green paint,0.9599328892851652,0.9462525222775804,0.9462525222775804,0.9461477425836724,0.9504238498064284
33,Galvanized Steel Metal,0.9526820810453496,0.9521367903772242,0.9521367903772242,0.9569613661943288,0.9571108637976052
34,Construction  Concrete,0.8650953449270911,0.8533882964722621,0.8533882964722621,0.9500487899889322,0.9574614984092746
35,Construction Asphalt,0.9270897592928514,0.9274421088683276,0.9274421088683276,0.9567444571388488,0.9573732534257676
36,Olive green gloss paint,0.9552329764488852,0.9507373379359432,0.9507373379359432,0.926822833497015,0.9267856904654724
37,Black gloss paint,0.956481135463062,0.9460244824416616,0.9460244824416616,0.9395531594724782,0.9387855571544204
38,White Marble,0.9352003932422048,0.929960616562322,0.929960616562322,0.9414776361283888,0.9096023630542316
39,Construction Concrete,0.8899641326063582,0.8412328461866819,0.8412328461866819,0.9240865912952656,0.9332772574691972
40,Bare Red Brick,0.9575766564796308,0.9094601093523134,0.9094601093523134,0.9685405424402564,0.9790861665616278
41,Flat Black Paint,0.9230431774632594,0.9360358439382336,0.9360358439382336,0.861192780685471,0.8716848632959301
42,Black paint,0.958426508431884,0.9481341106715994,0.9481341106715994,0.9462866123088436,0.948291639248134
43,White fiberglass unspecified rubber,0.9485898990938408,0.946923854297097,0.946923854297097,0.9600141688257028,0.9622142629732896
44,Copper Metal,0.9643577913604916,0.9668374443274022,0.9668374443274022,0.957985389000608,0.9637982133249304
45,Black gloss paint,0.9554715839655964,0.945108054524758,0.945108054524758,0.9204137503000828,0.9109845318823638
46,Glossy Black Paint,0.9537916279843104,0.952952440190726,0.952952440190726,0.8724373163381715,0.9270658580257728
47,Douglas Fir,0.9724319908279248,0.973200963201044,0.9713474062423736,0.9309658231407276,0.9411048704032932
48,Emissivity of Asphalt ,0.9746145597875177,0.9698201920583148,0.9667141818737578,0.9704600486331264,0.9708325132926946
49,Cobblestone Pavement (Grey),0.9277528537739332,0.9426364192660696,0.9440526139909596,0.9645266709242596,0.9616150547020266
50,Cobblestone Pavement (Red),0.9317122578624272,0.9443207158330628,0.9446139065405664,0.9646958382613272,0.9638332597652558
51,Tan Brick,0.91751797409821,0.930422892650868,0.9321629115463218,0.9676533673450156,0.9707332691890288
52,Atkinson California Common Red Brick,0.9587900577872868,0.9356838415911788,0.9107500623294904,0.9322231718946344,0.9452973178180736
53,Atkinson Oversize Commercial Red Brick,0.9502643428604446,0.9265414913026933,0.8960167033634248,0.9228637686921994,0.9340282784597764
54,Clay Brick (Common),0.9571877205234064,0.9397050139781096,0.9039648813440916,0.9424262770377028,0.959213540404602
55,Atkinson California Common Brick Oversize,0.9626946942398392,0.9523287046751064,0.9392691217994292,0.9468779838873136,0.9524717638499768
56,Brick Clay (Rustic),0.9493959463946444,0.963933939938706,0.9637332732123084,0.9716304804099356,0.9703514522139934
57,True Cast Concrete Brick (Grey),0.934225706811112,0.947540119205243,0.9518325314381946,0.9666481686059928,0.9634242456287258
58,Masonry m.cap Red,0.9641068122980864,0.9432802933265896,0.9115288769296966,0.9497143049559568,0.9525094938587264
59,Masonry m.cap-Tan,0.9137922032278406,0.9307963603408276,0.9417960981405248,0.9709759763016808,0.9734496619464504
60,Masonry m.cap-Natural,0.9105831326778248,0.9330356475866118,0.945100468354826,0.9675786308235516,0.9657765016033288
61,A001,0.9416893256675472,0.951518653151916,0.951518653151916,0.9649207042034976,0.9588798169397568
62,A004,0.8898737071311335,0.9056232818836462,0.9056232818836462,0.9499810654567606,0.9559281799480864
63,A005,0.893587934359088,0.8861336081724409,0.8861336081724409,0.9383583070133172,0.9465006464889668
64,A006,0.8279264378255747,0.825087844357649,0.825087844357649,0.9226228529793612,0.9375143504892332
65,A008,0.9292923567361356,0.9424212858814044,0.9424212858814044,0.9482701171221,0.9450567536521391
66,A009,0.948444149442736,0.9514113197793403,0.9514113197793403,0.952443254129355,0.9441230202118044
67,A010,0.9571682893328516,0.9605675207825806,0.9605675207825806,0.9589909429966346,0.9503874445305897
68,B001,0.849201841320838,0.9001282734916741,0.9001282734916741,0.9640637706082936,0.9592636898591133
69,B002,0.8715787584638395,0.8840221724720765,0.8840221724720765,0.948725574066998,0.9546432335744508
70,B003,0.8919176416689611,0.93373231066345,0.93373231066345,0.9455796627101392,0.9449672659627
71,B004,0.9379068246313372,0.8671914977039813,0.8671914977039813,0.9046348345475798,0.9280557533592412
72,B006,0.7506861948737051,0.7565019901401762,0.7565019901401762,0.9235731254528416,0.9353765400494116
73,B007,0.8336818309459018,0.8699962807499967,0.8699962807499967,0.9587408936405524,0.957945772588684
74,B008,0.9399005973885876,0.8986971227499269,0.8986971227499269,0.9344204161281664,0.9479693569040126
75,B009,0.9002374188981053,0.9208800664677178,0.9208800664677178,0.9549012046622553,0.9590695153921244
76,B010,0.9256573572576376,0.9342814082119376,0.9342814082119376,0.937165444377966,0.9360744330370504
77,B011,0.9034326594408676,0.9170249954606544,0.9170249954606544,0.9595619867776504,0.9623769330106392
78,B012,0.9240866146553758,0.923813584301778,0.923813584301778,0.9503483202032844,0.9554227794361212
79,B013,0.90442728022985,0.9050995643072652,0.9050995643072652,0.9548286685596624,0.9567881742457962
80,B014,0.9244660849007692,0.9387801981226704,0.9387801981226704,0.962839535945792,0.9639153380906824
81,C001,0.9032885259925516,0.9285980282284618,0.9285980282284618,0.95257698725109,0.9223938014516776
82,C002,0.8342120005159599,0.8231442444838991,0.8231442444838991,0.9417158931662244,0.9470096907543044
83,C003,0.8941687369382528,0.8829824972204059,0.8829824972204059,0.9369982050750852,0.9394057938402928
84,C004,0.9008396113894336,0.9325897345960296,0.9325897345960296,0.959993265562786,0.9544119932146836
85,C006,0.919198396402252,0.9389576798866278,0.9389576798866278,0.953177198346912,0.9515807398907444
86,C008,0.9293571205922256,0.932054792448518,0.932054792448518,0.9557284017957782,0.9557622383015896
87,G001,0.8619144459857833,0.8640669927080841,0.8640669927080841,0.930131931315297,0.9324920234433128
88,G002,0.8906712236874619,0.8984972267881536,0.8984972267881536,0.9340355588616528,0.9505834871049522
89,G003,0.8165958579168808,0.7906092466843162,0.7906092466843162,0.9075383958823692,0.9332531686376928
90,G004,0.8873008787879594,0.8889912332058106,0.8889912332058106,0.9356799762386284,0.9354894416551456
91,G005,0.8526217314471172,0.8287903751686448,0.8287903751686448,0.9017889667471046,0.9336791585744544
92,L001d,0.8794210747948298,0.8290565746000774,0.8290565746000774,0.9073827719743788,0.9275013953365964
93,L001u,0.9172305907942772,0.8928714600550813,0.8928714600550813,0.9254733585625696,0.9359835548314112
94,L002,0.9410988007956738,0.9326573294006332,0.9326573294006332,0.9437781741788764,0.9476490972102288
95,L003,0.9552925932188178,0.954378547841783,0.954378547841783,0.9460731302473822,0.9508237153440536
96,R001,0.9296785939076738,0.8356773561231592,0.8356773561231592,0.9500765520505112,0.9512068956305408
97,R003,0.8774471045301148,0.830474407616041,0.830474407616041,0.9236965653320888,0.9405955498678336
98,R004,0.9202637879617178,0.8364719833887897,0.8364719833887897,0.933259817868261,0.948928602639687
99,R005,0.9672463321256934,0.9496331144170626,0.9496331144170626,0.957153495938647,0.9571953392644548
100,R006,0.8791381381667449,0.9113174313035792,0.9113174313035792,0.9501854163969272,0.9558521075020722
101,R007,0.9676408004273324,0.8856359008944381,0.8856359008944381,0.9217152359401282,0.9247950234012928
102,R008,0.8924445292565057,0.9267861999644628,0.9267861999644628,0.9565716205834442,0.9587548673982186
103,R009,0.8560974940310021,0.8491016489882743,0.8491016489882743,0.9460709505713568,0.954960948051552
104,R010,0.9482225101425932,0.9192217769008308,0.9192217769008308,0.95019066189915,0.9561277055797194
105,R012,0.9406631786972462,0.929391429734688,0.929391429734688,0.9513376940585287,0.9553880409408988
106,R013,0.9546175050841228,0.90842312641096,0.90842312641096,0.9424498589749246,0.9551525149196975
107,S002,0.9024008028394298,0.9215188630970834,0.9215188630970834,0.9439740527194368,0.9436026829345584
108,S003,0.8614181597519662,0.8667586061591461,0.8667586061591461,0.9412340493863044,0.951142107931041
109,S004,0.8972989020616066,0.9319397801792442,0.9319397801792442,0.9216833256096336,0.897051361496834
110,S005,0.8417214810524806,0.857453855339725,0.857453855339725,0.9312584555965072,0.9346551876670872
